Customer_id,Name,Birth_Date,Fam_Depend,Account No,Income,Pincode
72050,Ragnar Dampier,10/24/2007,0,5308333,839249,400001
35752,Cobby Baudinot,07-07-1993,1,5386135,857448,400004
24485,Kylynn Allison,07/19/1996,0,5054135,603783,400092
82804,Marshal Bushell,08-07-1978,6,5075661,316369,400104
36328,Skell Cicetti,03/18/1974,3,5337783,895415,400002
113405,Gratia Casey,03/21/1976,5,5541139,710687,400103
92167,Wiley Filipponi,11-10-1976,6,5418318,473363,400070
118936,Conni MacDearmid,02-12-1990,0,5200985,920830,400056
190796,Florence Thunder,08/14/1980,1,5602242,570362,400091
110875,Darrin Aindrais,09-06-1946,3,5206988,771838,400046
69893,Grover Souter,09/25/1975,6,5401590,414016,400105
135879,Willdon Simonelli,10/24/1997,4,5385436,598755,400108
38094,Cirstoforo Riehm,01/22/1989,1,5521229,48325,400014
186784,Brittaney Avramchik,05/14/1999,5,5743430,953123,400056
159368,Vaughn Hevner,10-10-1982,0,5560918,107925,400001
44918,Edouard Arthan,05/24/1955,6,5206034,350252,400092
187701,Shelden Gottelier,10/29/2003,5,5312205,77394,400070
76541,Durward Wall,09/25/1962,4,5042715,520666,400044
178799,Griffie Lamkin,03-01-1981,0,5062628,253135,400063
22687,Harrie Portwaine,04/19/1965,5,5137820,114416,400017
